# Aurifeuillian half-primes of the golden tower: H(s) = 5*F_m^2 + s*5*F_m + 1, m odd
# Law: Lambda_{5m} = (H+/s+)(H-/s-); stray factors are rank-of-apparition primes
# Seam: H - 1 = 5*F_m*(F_m + s) -- the N-1 certificate side factors by construction
m	sign	digits	H
3	+	2	31
3	-	2	11
5	+	3	151
5	-	3	101
7	+	3	911
11	-	5	39161
17	+	8	12760031
19	-	8	87382901
25	-	11	28143378001
29	-	13	1322154751061
37	+	16	2918000731816531
67	+	29	10100521408792719066483062311
71	-	30	474509504128267649899203532561
73	+	31	3252336525249736694804553589211
97	+	41	34962478192749096461017520292718749827531
113	+	48	170296882017710180342584619498246977406161166111
127	+	54	121020968315000050139390193815007405968017298243219711
131	-	55	5685409429881978264051189958530450429753391663473961961
191	-	80	68120617404226206369449828849213342553452004723008800395655124114379954156927361
239	-	100	7872126050070721531560733921001634528676...00673066229004088801
331	-	139	2237782357003031652724812741621388631561...72927692236872507461
457	+	192	1034434957248378853666987908827754516843...99356923964656269531
617	+	258	7775853477611972707808232651806220761451...69739362918277370031
